iter	Passed	Remaining
1279	6694	627
1280	6700	622
1281	6705	617
1282	6710	611
1283	6716	606
1284	6721	601
1285	6726	596
1286	6731	591
1287	6736	585
1288	6742	580
1289	6747	575
1290	6752	570
1291	6757	564
1292	6763	559
1293	6768	554
1294	6774	549
1295	6779	544
1296	6784	538
1297	6789	533
1298	6794	528
1299	6800	523
1300	6805	517
1301	6810	512
1302	6816	507
1303	6821	502
1304	6826	496
1305	6831	491
1306	6836	486
1307	6841	481
1308	6846	475
1309	6852	470
1310	6857	465
1311	6862	460
1312	6867	455
1313	6872	449
1314	6877	444
1315	6883	439
1316	6888	434
1317	6893	428
1318	6898	423
1319	6904	418
1320	6909	413
1321	6914	407
1322	6919	402
1323	6925	397
1324	6930	392
1325	6935	387
1326	6940	381
1327	6945	376
1328	6951	371
1329	6955	366
1330	6961	360
1331	6966	355
1332	6972	350
1333	6977	345
1334	6983	339
1335	6988	334
1336	6993	329
1337	6998	324
1338	7004	319
1339	7009	313
1340	7014	308
1341	7019	303
1342	7024	298
1343	7029	292
1344	7035	287
1345	7040	282
1346	7045	277
1347	7051	272
1348	7056	266
1349	7061	261
1350	7066	256
1351	7071	251
1352	7076	245
1353	7081	240
1354	7086	235
1355	7092	230
1356	7097	224
1357	7102	219
1358	7107	214
1359	7112	209
1360	7117	203
1361	7122	198
1362	7127	193
1363	7132	188
1364	7138	183
1365	7143	177
1366	7148	172
1367	7153	167
1368	7158	162
1369	7163	156
1370	7169	151
1371	7174	146
1372	7179	141
1373	7184	135
1374	7190	130
1375	7195	125
1376	7200	120
1377	7205	115
1378	7210	109
1379	7216	104
1380	7221	99
1381	7226	94
1382	7231	88
1383	7236	83
1384	7242	78
1385	7247	73
1386	7252	67
1387	7257	62
1388	7262	57
1389	7267	52
1390	7273	47
1391	7278	41
1392	7283	36
1393	7288	31
1394	7293	26
1395	7299	20
1396	7304	15
1397	7310	10
1398	7315	5
1399	7320	0
